"Temps(s)","S(Px)"
"0","-0.5"
"0.0520544","-0.5"
"0.102331","-0.5"
"0.152744","-0.5"
"0.20306","-0.5"
"0.253455","-10.312"
"0.303808","-19.3827"
"0.355469","-27.8963"
"0.40579","-35.4491"
"0.457984","-42.2393"
"0.524457","-50.1272"
"0.591131","-56.675"
"0.641563","-60.7327"
"0.691871","-64.0334"
"0.743554","-66.5465"
"0.793957","-68.3649"
"0.844306","-69.3715"
"0.894588","-69.6231"
"0.944912","-69.2206"
"0.995218","-68.2147"
"1.04553","-66.6046"
"1.09581","-64.3912"
"1.14617","-61.5747"
"1.19645","-58.1515"
"1.24683","-54.1268"
"1.29716","-49.4944"
"1.34755","-44.2585"
"1.39785","-38.4185"
"1.44824","-31.9734"
"1.49856","-24.9275"
"1.54912","-17.2668"
